id,location,date,category,status,state,comment,,,,,,,,,,,,,,,,,,,,
4341292,Mlimani City,1/1/2026,Store.Point Of Sale.Printer,Awaiting Vendor,On-site,TA3 Serv Pass? Z199.,,,,,,,,,,,,,,,,,,,,
4341621,Mlimani City,1/1/2026,Store.Point Of Sale.Printer,Resolved,Remote,Unsent reports.,,,,,,,,,,,,,,,,,,,,
4342184,Garden City,1/2/2026,Store.Point Of Sale.Server,Resolved,Remote,Incorrect Sales date at POS,,,,,,,,,,,,,,,,,,,,
4342189,Mlimani City,1/2/2026,Store.Point Of Sale.Printer,Resolved,Remote,Unsent reports.,,,,,,,,,,,,,,,,,,,,
4342194,Mlimani City,1/2/2026,Store.Point Of Sale.Printer,Resolved,Remote,TA4 Serv Pass? Z28.,,,,,,,,,,,,,,,,,,,,
4342232,Naalya,1/2/2026,Desktop.Back office PC.Maintenance,Resolved,On-site,Machine WWAAATUGA audio output/speakers are not working/active,,,,,,,,,,,,,,,,,,,,
4342876,Mlimani City,1/2/2026,Store.Reports.Point Of Sale,Awaiting User,Remote,Tender check/variance.,,,,,,,,,,,,,,,,,,,,
4343058,TFA Arusha,1/2/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4343431,Palm Village,1/2/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed Receipt for transaction FLB/9572/260102/00000041 on TILL 05, had syntax error, PIN input missed",,,,,,,,,,,,,,,,,,,,
4343491,Rupa Mall,1/2/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
4343504,Kisumu,1/2/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
4343532,Sarit,1/2/2026,Store.Point Of Sale.Software,Resolved,Remote,POS account password had expired and users were unable to use/log into the till,,,,,,,,,,,,,,,,,,,,
4343636,Garden City,1/2/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
4343662,Bugolobi,1/2/2026,Store.Back Office.EOD,Resolved,Remote,Sales data transfer error,,,,,,,,,,,,,,,,,,,,
4344414,Sarit,1/3/2026,Store.Point Of Sale.Pricing,Awaiting User,Remote,Promotion not picking,,,,,,,,,,,,,,,,,,,,
4344725,The Junction,1/3/2026,Store.Point Of Sale.Receipts,Resolved,Remote,"Printed CHR/9506/260103/00000007 on L05, syntax error",,,,,,,,,,,,,,,,,,,,
4345089,Palm Village,1/3/2026,WW Store.Export Warehouse,Resolved,Remote,Receiving claims/reports.,,,,,,,,,,,,,,,,,,,,
4346030,Mlimani City,1/4/2026,Store.Back Office.Server,Resolved,Remote,Unable to perform exchange at the till,,,,,,,,,,,,,,,,,,,,
4346046,Mlimani City,1/4/2026,Store.Back Office.Server,Resolved,Remote,"Stores are unable to run exchanges/refunds, they are unable to retrieve transactions on POS",,,,,,,,,,,,,,,,,,,,
4346185,Sarit,1/4/2026,WW Store.Export Warehouse,Resolved,Remote,Attached claims for shipment,,,,,,,,,,,,,,,,,,,,
